City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,25.74,83,4,6.2,PN,1681698820
1,tikapur,28.5,81.1333,33.76,12,0,1.7,NP,1681698821
2,yellowknife,62.456,-114.3525,6.29,49,40,5.66,CA,1681698822
3,parsabad,39.6482,47.9174,7.57,72,100,4.82,IR,1681698822
4,emerald,-23.5333,148.1667,25.75,61,20,3.51,AU,1681698822
5,ilulissat,69.2167,-51.1,-3.99,74,100,2.57,GL,1681698823
6,hermanus,-34.4187,19.2345,13.22,66,7,2.63,ZA,1681698823
7,bethel,41.3712,-73.414,15.76,88,100,1.54,US,1681698823
8,lihue,21.9789,-159.3672,26.58,74,20,3.6,US,1681698748
9,saipan,15.1355,145.701,31.39,100,75,7.72,MP,1681698824
10,edinburgh of the seven seas,-37.0676,-12.3116,16.48,67,100,7.65,SH,1681698824
11,sinabang,2.4803,96.3801,28.53,73,88,0.99,ID,1681698824
12,kabare,-2.4683,28.8242,15.07,96,100,0.77,CD,1681698824
13,papatowai,-46.5619,169.4708,16.46,54,100,1.38,NZ,1681698825
14,princeville,45.7668,-61.2985,5.98,95,100,4.12,CA,1681698825
15,jianshui,23.6363,102.8264,30.06,22,3,5.95,CN,1681698825
16,jenzan,36.2408,128.2975,17.81,27,0,1.03,KR,1681698826
17,puerto lempira,15.2667,-83.7667,24.96,82,28,4.57,HN,1681698826
18,newman,37.3138,-121.0208,19.13,70,22,2.12,US,1681698826
19,iskateley,67.6803,53.1512,-8.19,96,96,1.84,RU,1681698827
20,puerto natales,-51.7236,-72.4875,2.73,85,44,2.67,CL,1681698742
21,wailua homesteads,22.0669,-159.378,26.24,76,20,3.6,US,1681698827
22,albany,42.6001,-73.9662,19.23,74,37,2.24,US,1681698595
23,isafjordur,66.0755,-23.124,5.3,95,100,2.94,IS,1681698828
24,margaret river,-33.95,115.0667,20.13,58,45,6.67,AU,1681698829
25,papao,-17.75,-149.55,29.82,75,18,2.57,PF,1681698829
26,grytviken,-54.2811,-36.5092,-0.33,76,21,1.55,GS,1681698829
27,port alfred,-33.5906,26.891,17.69,54,6,2.56,ZA,1681698829
28,port-aux-francais,-49.35,70.2167,6.78,85,100,21.62,TF,1681698830
29,longyearbyen,78.2186,15.6401,0.91,93,75,3.6,SJ,1681698830
30,uturoa,-16.7333,-151.4333,27.6,72,37,2.87,PF,1681698830
31,tolanaro,-25.0319,46.9987,21.04,94,75,1.03,MG,1681698830
32,shitanjing,39.2342,106.3439,18.74,24,16,10.12,CN,1681698831
33,hawaiian paradise park,19.5933,-154.9731,25.73,78,75,6.17,US,1681698831
34,stanley,54.868,-1.6985,9.74,94,100,2.06,GB,1681698831
35,turka,49.1541,23.0297,7.66,94,100,1.91,UA,1681698831
36,sumbawanga,-7.9667,31.6167,13.14,97,39,1.71,TZ,1681698832
37,polyarnyy,69.1989,33.4478,-4.34,93,97,3.3,RU,1681698832
38,bardai,11.65,7.2333,25.34,46,87,4.21,NG,1681698833
39,waitangi,-43.9535,-176.5597,16.01,77,0,0.45,NZ,1681698833
40,ta`u,-14.2336,-169.5144,26.73,80,100,6.92,AS,1681698833
41,ribeira grande,38.5167,-28.7,15.99,74,86,3.58,PT,1681698833
42,galesong,-5.3166,119.3661,30.01,71,82,0.81,ID,1681698834
43,fort st. john,56.2499,-120.8529,10.94,35,100,4.12,CA,1681698630
44,ilek,51.5271,53.3831,2.31,70,2,3.24,RU,1681698834
45,wanning,18.8003,110.3967,27.82,78,98,4.57,CN,1681698834
46,port mathurin,-19.6833,63.4167,25.93,78,13,7.43,MU,1681698835
47,as sulayyil,20.4607,45.5779,22.14,47,20,4.57,SA,1681698835
48,punta arenas,-53.15,-70.9167,4.06,70,40,7.72,CL,1681698835
49,mugia,43.1041,-9.2179,11.06,77,86,3.38,ES,1681698836
50,ust-nera,64.5667,143.2,-3.58,84,100,0.28,RU,1681698836
51,port elizabeth,-33.918,25.5701,12.95,89,0,2.06,ZA,1681698539
52,hamilton,39.1834,-84.5333,8.35,74,100,5.14,US,1681698667
53,sabha,27.0377,14.4283,20.58,23,88,5.68,LY,1681698836
54,mogok,22.9167,96.5,30.75,26,2,2.28,MM,1681698837
55,forbes,-33.3833,148.0167,17.41,32,0,3.99,AU,1681698614
56,iqaluit,63.7506,-68.5145,-16.15,78,20,1.54,CA,1681698837
57,blackmans bay,-43.0167,147.3167,19.07,67,96,2.23,AU,1681698838
58,tiksi,71.6872,128.8694,-13.33,92,100,1.97,RU,1681698839
59,klyuchi,52.2667,79.1667,-3.18,93,100,6.25,RU,1681698839
60,novyy urgal,51.0736,132.5642,9.04,32,4,0.42,RU,1681698839
61,khandyga,62.6667,135.6,0.05,97,100,3.1,RU,1681698839
62,dunedin,-45.8742,170.5036,20.04,47,79,3.45,NZ,1681698840
63,vernon,50.2581,-119.2691,10.16,79,100,1.03,CA,1681698720
64,eusebio ayala,-25.4,-56.9667,20.36,98,82,0.69,PY,1681698840
65,lebu,-37.6167,-73.65,10.95,74,58,5.67,CL,1681698759
66,burang,30.25,81.1667,-0.26,46,1,0.44,CN,1681698841
67,enewetak,11.3474,162.3373,26.58,73,88,8.98,MH,1681698841
68,luderitz,-26.6481,15.1594,19.44,46,2,0.62,NA,1681698841
69,norrtalje,59.758,18.705,1.12,86,6,2.84,SE,1681698841
70,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.54,GF,1681698842
71,cidreira,-30.1811,-50.2056,19.97,94,64,3.76,BR,1681698842
72,kalymnos,36.95,26.9833,16.58,77,100,3.41,GR,1681698842
73,kalmunai,7.4167,81.8167,28.77,71,7,3.37,LK,1681698843
74,tura,25.5198,90.2201,32.45,31,3,3.45,IN,1681698843
75,shimoda,34.6667,138.95,18.95,50,41,1.77,JP,1681698844
76,morant bay,17.8815,-76.4093,27.79,84,2,2.73,JM,1681698844
77,port lincoln,-34.7333,135.8667,20.29,65,9,6.11,AU,1681698631
78,amal,59.051,12.7049,3.14,93,9,3.86,SE,1681698844
79,guerrero negro,27.9769,-114.0611,14.17,85,5,8.08,MX,1681698845
80,east london,-33.0153,27.9116,17.11,52,4,2.22,ZA,1681698845
81,the dalles,45.5946,-121.1787,10.35,67,100,4.92,US,1681698845
82,puerto ayora,-0.7393,-90.3518,24.19,99,97,1.79,EC,1681698846
83,pacific grove,36.6177,-121.9166,14.93,78,0,3.6,US,1681698791
84,ushuaia,-54.8,-68.3,2.81,75,75,1.54,AR,1681698738
85,pampa,35.5362,-100.9599,17.53,25,0,3.6,US,1681698847
86,anadyr,64.75,177.4833,-10.72,72,0,1.79,RU,1681698847
87,alice springs,-23.7,133.8833,17.75,45,0,7.2,AU,1681698678
88,yulinshi,38.2906,109.7494,23.84,20,100,6.59,CN,1681698847
89,acajutla,13.5928,-89.8275,28.42,70,77,0.19,SV,1681698848
90,kenai,60.5544,-151.2583,6.05,70,100,5.14,US,1681698848
91,sur,22.5667,59.5289,28.15,49,6,1.98,OM,1681698849
92,st. john's,47.5649,-52.7093,-0.68,87,40,2.57,CA,1681698693
93,fort bragg,35.139,-79.006,23.23,72,20,4.63,US,1681698569
94,bodo,67.28,14.405,5.02,90,100,2.06,NO,1681698849
95,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,81,100,8.0,RU,1681698681
96,jinchang,38.4953,102.1739,13.0,29,16,8.8,CN,1681698850
97,thompson,55.7435,-97.8558,0.09,51,40,2.57,CA,1681698850
98,west island,-12.1568,96.8225,27.99,69,40,7.72,CC,1681698850
99,kodiak,57.79,-152.4072,1.73,75,100,6.69,US,1681698851
100,akjoujt,19.6969,-14.4164,27.2,26,0,6.24,MR,1681698851
101,ain arnat,36.1868,5.3135,1.89,80,40,1.03,DZ,1681698851
102,puerto armuelles,8.2833,-82.8667,27.99,80,96,0.98,PA,1681698830
103,bredasdorp,-34.5322,20.0403,13.22,82,6,1.18,ZA,1681698852
104,rio gallegos,-51.6226,-69.2181,1.03,64,20,4.63,AR,1681698804
105,santiago de cao,-7.9589,-79.2392,26.07,83,40,3.6,PE,1681698852
106,saldanha,-33.0117,17.9442,13.03,82,1,5.14,ZA,1681698853
